Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
NZ,1996,18.370200873742398,0.81,3717.352,0.004941743712659549,0.00021789704068917877,-5.310037031793317,-8.431487897156044
PNG,1996,1.6368965332297298,1.0,5314.258000000002,0.00030801977119472357,0.00018817302434319142,-8.08534658486027,-8.578148676138563
PE,1996,23.5341181852949,0.58,24753.825,0.0009507265315681475,2.343072232271174e-05,-6.958284095585572,-10.661462476952135
RP,1996,68.27927830392791,0.92,71401.743,0.0009562690690047708,1.2884839519954016e-05,-6.952471231579459,-11.25945916873347
RUS,1996,292.4970393098,49.25,148020.851999999,0.0019760529368511,0.0003327233922420629,-6.226653890110901,-8.008199067095708
SIN,1996,42.839116612653505,0.53,3638.177,0.011774885227588846,0.00014567735434532184,-4.441786386253372,-8.834116283436616
CT,1996,67.06057399606749,12.42,21488.994,0.003120693969948872,0.0005779702856262141,-5.769699875628136,-7.455988099564569
THA,1996,163.14949753281,2.13,60130.19,0.002713270946471481,3.5423137695058e-05,-5.909600380601063,-10.248145344127678
USA,1996,1915.6837815649496,95.54,268335.00800000003,0.007139149661623538,0.0003560474673509615,-4.942161604733727,-7.940446500745089
VN,1996,28.00536659634561,0.31,76068.739,0.0003681586807472332,4.0752614553003175e-06,-7.90699651505165,-12.410575652519771
AUS,1997,79.96087484346751,8.83,18387.205,0.004348723737156762,0.00048022524358650484,-5.437872870686979,-7.641255306657308
BD,1997,3.2725765467921097,1.0,311.962,0.010490305058924195,0.0032055186208576687,-4.5573037760697765,-5.742881385520089
CDA,1997,166.61743311059402,15.55,29742.378,0.0056020212341660785,0.0005228230237676355,-5.1846278116897695,-7.556267537842603
CHL,1997,35.12443924807991,1.17,14786.227,0.0023754835664351634,7.912769092480454e-05,-6.04255425530054,-9.444447669549875
PRC,1997,1097.0723001626,108.91,1261996.017,0.0008693151843462592,8.629979693509603e-05,-7.047804800706075,-9.357683312889293
HKC,1997,10.7048016831073,1.0,6299.91199999999,0.0016991986051721542,0.00015873237594429915,-6.377598547790253,-8.748290944028097
INA,1997,350.892670965075,3.82,202826.444,0.0017300144105720013,1.8833836085002803e-05,-6.359625540696737,-10.879855514057377
JPN,1997,1041.07876100996,104.55,126892.745,0.00820439940053279,0.0008239241731274708,-4.803084756323079,-7.101432055192724
KOR,1997,220.301418590038,42.55,46196.056,0.004768836079643639,0.0009210743012347201,-5.345653012317248,-6.989969850441027
MAS,1997,97.90525688281778,2.96,21562.79,0.004540472586470386,0.00013727351608952272,-5.39472417841007,-8.893535154622668
MEX,1997,313.349549817531,14.25,94611.008,0.0033119777121234243,0.0001506167231618545,-5.7102097719130995,-8.80077220519195
NZ,1997,18.364818755304306,0.76,3752.355,0.004894211436632276,0.00020253947187832708,-5.319702111659852,-8.504575767556735
PNG,1997,1.61911852526725,1.0,5446.633000000002,0.0002972696205650811,0.0001835996660689273,-8.120871017624458,-8.602752898576231
PE,1997,25.13499558615889,0.61,25210.957,0.0009969869682518952,2.419582882157151e-05,-6.9107728590488495,-10.629330302402778
RP,1997,70.10634014163672,0.98,73030.879,0.0009599547629932911,1.3418981305154495e-05,-6.948624396494651,-11.218840338008768
RUS,1997,296.591751591428,48.5,147730.02,0.002007660674461616,0.00032830158690833457,-6.210785078254441,-8.021577899754323
SIN,1997,44.368808708424794,0.38,3752.131,0.011824962590172038,0.00010127578168246258,-4.43754250823096,-9.19766325049047
CT,1997,71.49887791890289,16.06,21608.3089999999,0.0033088603980488815,0.000743232614824236,-5.711151439494461,-7.204501487110747
THA,1997,163.462438372156,2.1,60846.588,0.0026864684404679516,3.451302807644695e-05,-5.919527795317237,-10.274173679805228
USA,1997,2000.87838377383,98.49,271713.634,0.007363923386243584,0.00036247721010569526,-4.911162419488948,-7.922548954319807
VN,1997,32.8949907865073,0.31,77133.212,0.0004264698686022216,4.019021015227526e-06,-7.759968841588674,-12.424472213541604
AUS,1998,84.7008214309713,8.94,18587.027,0.0045569859790364165,0.00048098063235180107,-5.391093843502049,-7.639683554050056
BD,1998,2.96467485616606,1.0,319.135,0.00928972020043574,0.003133470161530387,-4.678846844969942,-5.765614210754205
CDA,1998,173.670405569286,15.93,30022.078,0.005784756323972178,0.0005306095067769792,-5.152529041268223,-7.54148419938952
CHL,1998,35.793709038094306,1.17,14977.736,0.002389794361316978,7.811594489314004e-05,-6.036547958030449,-9.457316361993062
PRC,1998,1183.05659145952,114.59,1271982.3490000002,0.0009300888431271147,9.008772809629608e-05,-6.9802304461354865,-9.31472660577524
HKC,1998,10.0750652416059,1.0,6416.996,0.0015700594548611064,0.00015583615760396296,-6.456641791000662,-8.76670537440608
INA,1998,284.383772177133,2.7,205724.597,0.001382351825324674,1.3124342151463784e-05,-6.583969009100503,-11.24104187253596
JPN,1998,1006.40771148464,93.55,127117.436,0.007917149237376374,0.0007359336605876789,-4.8387240827271825,-7.214370578368896
KOR,1998,216.01122291694801,39.9,46620.698,0.004633375993575816,0.0008558430420754318,-5.374469520309408,-7.063423560696822
MAS,1998,91.98634984087307,1.9,22114.647,0.0041595215081151,8.59159090353104e-05,-5.482355233412229,-9.362141541985908
MEX,1998,328.0331423085629,14.22,96056.313,0.003415008676301816,0.00014803816173956209,-5.679575245317863,-8.818040467846016
NZ,1998,17.90169444535589,0.76,3783.976,0.004730921772589438,0.00020084693983259935,-5.353635217538646,-8.512967433358702
PNG,1998,1.5683517633110098,1.0,5581.767,0.0002809776479940868,0.00017915473720060332,-8.177235436299389,-8.627260671913717
